SpT,Teff
O3V,44900
O4V,42900
O5V,41400
O5.5V,40500
O6V,39500
O6.5V,38300
O7V,37100
O7.5V,36100
O8V,35100
O8.5V,34300
O9V,33300
O9.5V,31900
B0V,31400
B0.5V,29000
B1V,26000
B1.5V,24500
B2V,20600
B2.5V,18500
B3V,17000
B4V,16400
B5V,15700
B6V,14500
B7V,14000
B8V,12300
B9V,10700
B9.5V,10400
A0V,9700
A1V,9300
A2V,8800
A3V,8600
A4V,8250
A5V,8100
A6V,7910
A7V,7760
A8V,7590
A9V,7400
F0V,7220
F1V,7020
F2V,6820
F3V,6750
F4V,6670
F5V,6550
F6V,6350
F7V,6280
F8V,6180
F9V,6050
F9.5V,5990
G0V,5930
G1V,5860
G2V,5770
G3V,5720
G4V,5680
G5V,5660
G6V,5600
G7V,5550
G8V,5480
G9V,5380
K0V,5270
K1V,5170
K2V,5100
K3V,4830
K4V,4600
K5V,4440
K6V,4300
K7V,4100
K8V,3990
K9V,3930
M0V,3850
M0.5V,3770
M1V,3660
M1.5V,3620
M2V,3560
M2.5V,3470
M3V,3430
M3.5V,3270
M4V,3210
M4.5V,3110
M5V,3060
M5.5V,2930
M6V,2810
